IPC_Mexico,USD_MXN
0.0315726,-0.0025425
0.0090687,-0.0023599
-0.0032669,0.0047143
0.0068785,-0.0068430
0.0138890,0.0016087
-0.0045606,0.0045756
0.0130309,-0.0032526
-0.0123634,-0.0012474
-0.0018940,-0.0022054
0.0036510,-0.0006162
-0.0250312,0.0024149
-0.0121708,-0.0012019
0.0138902,-0.0058699
-0.0095054,0.0044483
0.0054836,-0.0014046
0.0229523,-0.0053804
-0.0004791,0.0030984
0.0184014,-0.0010952
-0.0136354,-0.0082290
-0.0056743,0.0018239
0.0030649,0.0012939
0.0134115,-0.0003353
-0.0053372,0.0060656
-0.0104530,-0.0009051
-0.0105055,0.0057503
-0.0137463,-0.0019448
0.0058540,-0.0051409
-0.0119376,0.0005725
-0.0229377,0.0063236
0.0077635,-0.0036562
0.0080764,0.0023282
0.0157311,-0.0057113
0.0012745,-0.0040174
0.0033385,-0.0014867
-0.0024406,0.0052654
0.0151879,-0.0013377
0.0177987,0.0000956
-0.0008807,0.0018625
-0.0129743,-0.0009069
-0.0078992,0.0009833
0.0186644,-0.0008400
0.0022845,0.0052671
0.0045399,0.0049466
-0.0103608,0.0110456
-0.0234620,-0.0033713
-0.0082409,0.0047727
-0.0048080,-0.0002335
0.0059678,-0.0036484
0.0154082,0.0055143
0.0124765,-0.0057487
0.0030891,-0.0018014
0.0087402,-0.0015790
0.0093151,0.0018325
0.0120904,0.0114821
0.0008673,0.0096985
-0.0176172,0.0024330
0.0043234,-0.0051022
-0.0058592,0.0103609
-0.0155333,0.0040327
0.0106332,-0.0062243
0.0042591,-0.0031130
0.0030468,-0.0035827
0.0185875,-0.0030231
0.0065927,0.0080720
0.0083916,0.0070260
-0.0030613,0.0072477
-0.0202005,0.0036942
0.0038949,-0.0028822
-0.0042652,-0.0063337
-0.0073493,0.0011793
0.0159018,-0.0003627
0.0095169,-0.0093854
0.0056861,0.0019207
0.0023276,0.0083713
0.0097177,-0.0012694
0.0011924,0.0028086
0.0079833,0.0078403
0.0100814,-0.0020668
-0.0086085,-0.0014312
0.0124558,-0.0060628
0.0207877,-0.0056076
0.0037544,0.0009292
0.0063365,-0.0010477
-0.0026433,-0.0031038
0.0173285,-0.0027468
0.0098666,-0.0040422
-0.0019200,-0.0020734
-0.0160036,0.0036371
-0.0131661,0.0114235
-0.0206693,0.0112496
0.0062026,-0.0112496
-0.0286645,0.0149714
-0.0022155,-0.0018367
