IPC_Mexico,USD_MXN
0.031572605,-0.002542534
0.00906874,-0.002359903
-0.00326688,0.004714249
0.006878541,-0.00684297
0.013889003,0.001608711
-0.004560623,0.004575594
0.013030929,-0.00325257
-0.012363393,-0.001247367
-0.001894027,-0.002205395
0.003650965,-0.000616151
-0.025031173,0.002414883
-0.012170811,-0.001201926
0.013890208,-0.005869855
-0.009505348,0.004448264
0.005483555,-0.001404595
0.02295234,-0.005380366
-0.000479099,0.003098438
0.018401368,-0.001095208
-0.013635414,-0.008228966
-0.005674273,0.00182386
0.003064885,0.001293899
0.013411535,-0.000335288
-0.005337147,0.006065638
-0.010453038,-0.000905085
-0.010505486,0.005750297
-0.013746312,-0.001944759
0.005854012,-0.0051409
-0.011937591,0.000572478
-0.022937648,0.006323631
0.007763445,-0.003656212
0.008076398,0.002328169
0.015731058,-0.005711259
0.001274517,-0.004017397
0.003338478,-0.00148671
-0.002440566,0.005265375
0.015187871,-0.001337659
0.017798673,9.56E-05
-0.000880727,0.001862488
-0.012974339,-0.0009069
-0.007899173,0.000983249
0.01866435,-0.000839981
0.00228452,0.005267082
0.004539905,0.004946548
-0.010360773,0.01104562
-0.023461968,-0.003371287
-0.008240937,0.004772664
-0.004808043,-0.000233471
0.00596775,-0.003648403
0.0154082,0.005514292
0.012476491,-0.005748671
0.003089118,-0.001801422
0.00874023,-0.001578956
0.009315087,0.001832471
0.012090411,0.011482053
0.000867308,0.009698459
-0.017617196,0.002432988
0.004323431,-0.005102172
-0.005859145,0.010360879
-0.015533256,0.004032729
0.010633155,-0.006224326
0.004259091,-0.003113022
0.003046819,-0.003582711
0.018587501,-0.003023129
0.006592652,0.008071963
0.008391635,0.007025953
-0.003061279,0.007247715
-0.020200517,0.00369423
0.003894872,-0.002882155
-0.004265157,-0.006333689
-0.007349321,0.001179257
0.015901813,-0.000362687
0.009516878,-0.009385434
0.005686081,0.001920695
0.002327546,0.008371296
0.009717698,-0.001269375
0.001192386,0.002808621
0.007983334,0.00784034
0.01008136,-0.002066831
-0.008608532,-0.001431235
0.012455823,-0.006062749
0.020787744,-0.005607574
0.0037544,0.000929227
0.006336467,-0.001047702
-0.002643287,-0.003103841
0.017328524,-0.002746814
0.009866618,-0.004042235
-0.001919979,-0.002073403
-0.016003584,0.003637143
-0.013166099,0.011423473
-0.020669323,0.01124955
0.00620256,-0.01124955
-0.028664542,0.014971367
-0.00221547,-0.001836726
-0.001726715,-0.001121723
-0.041109312,0.009472048
-0.014794991,0.010413363
-0.014740664,-0.014378913
0.031414282,-0.007663538
0.009207336,-0.001711023
-0.004332628,0.006020545
-0.034388726,0.011845031
-0.00871131,-0.001151658
0.023844137,-0.005421501
0.015206356,0.007104188
-0.024329042,0.002121469
-0.008298185,-0.004424803
-0.020684536,0.004424803
-0.008497146,0.006249754
-0.028269116,-0.005455383
-0.043909198,0.006858382
-0.019805932,0.004546261
0.008904444,-0.003670354
0.065101378,-0.00353455
0.006085448,2.64E-05
-0.025821807,0.002194008
0.011277304,0.002626572
0.020866524,-0.006403246
0.001771347,0.006840338
0.019455549,-0.004467278
-0.002933819,0.007434332
-0.025741916,-0.003928942
0.004449179,-0.007199309
0.043589527,-0.004105712
0.01255235,-0.005723035
0.046613755,-0.014430029
0.013303878,-0.00212372
-0.040908669,0.011459796
0.026946516,-0.014222954
-0.010934649,-0.003726377
-0.006549481,-9.11E-05
-0.00661771,-0.003375119
-0.007733962,0.008552492
-0.036401196,-0.001133076
-0.021407438,-0.004135404
0.00594673,-0.00010927
0.023990736,-0.006653015
0.05089717,-0.003830945
-0.018346816,-0.000856403
0.000863244,0.000460522
0.0208455,0.001288299
0.007161364,0.000275873
-0.008441593,0.00558333
0.011265461,-0.005031812
0.005622093,-0.003313418
-0.007752561,0.008628644
-0.006125956,0.007466778
0.008569727,-0.010304192
0.005776797,0.003705289
0.004588242,-0.010049869
0.002820878,0.003269304
-0.003420957,-0.001426114
-0.013880145,-0.002950633
-0.000707517,0
